rank_from_low,rank_from_high,percentile,bills-introduced,id,bioguide_id,state,district,name
1,100,0,8,300089,S000320,AL,,b'Shelby'
2,98,1,10,412671,S001197,NE,,b'Sasse'
2,98,1,10,300088,S001141,AL,,b'Sessions'
4,97,3,11,412668,T000476,NC,,b'Tillis'
5,96,4,13,300023,C000567,MS,,b'Cochran'
6,94,5,15,402675,C000542,IN,,b'Coats'
6,94,5,15,412666,P000612,GA,,b'Perdue'
8,92,7,17,412667,E000295,IA,,b'Ernst'
8,92,7,17,412322,R000584,ID,,b'Risch'
10,91,9,18,412205,D000607,IN,,b'Donnelly'
11,89,10,19,300073,M000702,MD,,b'Mikulski'
11,89,10,19,412471,S001184,SC,,b'Scott'
13,83,12,20,400061,C001047,WV,,b'Capito'
13,83,12,20,412508,C001095,AR,,b'Cotton'
13,83,12,20,300047,G000359,SC,,b'Graham'
13,83,12,20,412464,L000575,OK,,b'Lankford'
13,83,12,20,412391,M001183,WV,,b'Manchin'
13,83,12,20,412243,M001170,MO,,b'McCaskill'
19,82,18,21,412582,K000384,VA,,b'Kaine'
20,80,19,23,412248,C001071,TN,,b'Corker'
20,80,19,23,300082,R000146,NV,,b'Reid'
22,79,21,25,400040,B001236,AR,,b'Boozman'
23,74,22,26,412545,K000383,ME,,b'King'
23,74,22,26,412305,P000595,MI,,b'Peters'
23,74,22,26,412669,R000605,SD,,b'Rounds'
23,74,22,26,412665,S001198,AK,,b'Sullivan'
23,74,22,26,412321,W000805,VA,,b'Warner'
28,71,27,27,300030,C000880,ID,,b'Crapo'
28,71,27,27,412494,H001061,ND,,b'Hoeven'
28,71,27,27,412542,W000817,MA,,b'Warren'
31,70,30,28,412281,H001046,NM,,b'Heinrich'
32,69,31,29,400432,W000437,MS,,b'Wicker'
33,67,32,30,412330,B001267,CO,,b'Bennet'
33,67,32,30,400357,S000033,VT,,b'Sanders'
35,65,34,31,300019,C000174,DE,,b'Carper'
35,65,34,31,300065,L000174,VT,,b'Leahy'
37,64,36,33,300083,R000307,KS,,b'Roberts'
38,63,37,34,412194,M001169,CT,,b'Murphy'
39,62,38,35,412507,S001194,HI,,b'Schatz'
40,60,39,37,412325,M001176,OR,,b'Merkley'
40,60,39,37,300093,S000770,MI,,b'Stabenow'
42,57,41,38,412549,D000618,MT,,b'Daines'
42,57,41,38,412554,H001069,ND,,b'Heitkamp'
42,57,41,38,400408,T000461,PA,,b'Toomey'
45,55,44,39,412251,B001261,WY,,b'Barrasso'
45,55,44,39,300041,E000285,WY,,b'Enzi'
47,50,46,40,300018,C000127,WA,,b'Cantwell'
47,50,46,40,412573,C001098,TX,,b'Cruz'
47,50,46,40,412556,F000463,NE,,b'Fischer'
47,50,46,40,412223,G000555,NY,,b'Gillibrand'
47,50,46,40,412495,L000577,UT,,b'Lee'
52,47,51,41,300055,I000024,OK,,b'Inhofe'
52,47,51,41,300081,R000122,RI,,b'Reed'
52,47,51,41,412247,W000802,RI,,b'Whitehouse'
55,46,54,42,400284,M000934,KS,,b'Moran'
56,44,55,43,412493,A000368,NH,,b'Ayotte'
56,44,55,43,412390,C001088,DE,,b'Coons'
58,43,57,44,412378,F000457,MN,,b'Franken'
59,39,58,45,400054,B001135,NC,,b'Burr'
59,39,58,45,400194,I000055,GA,,b'Isakson'
59,39,58,45,300071,M000303,AZ,,b'McCain'
59,39,58,45,300078,N000032,FL,,b'Nelson'
63,36,62,46,400013,B001230,WI,,b'Baldwin'
63,36,62,46,412269,C001075,LA,,b'Cassidy'
63,36,62,46,412406,G000562,CO,,b'Gardner'
66,34,65,47,412598,B001288,NJ,,b'Booker'
66,34,65,47,300025,C001035,ME,,b'Collins'
68,33,67,48,300072,M000355,KY,,b'McConnell'
69,32,68,49,412496,J000293,WI,,b'Johnson'
70,31,69,50,300002,A000360,TN,,b'Alexander'
71,29,70,51,300011,B000711,CA,,b'Boxer'
71,29,70,51,412200,H001042,HI,,b'Hirono'
73,27,72,52,400034,B000575,MO,,b'Blunt'
73,27,72,52,300027,C001056,TX,,b'Cornyn'
75,24,74,53,300038,D000563,IL,,b'Durbin'
75,24,74,53,300076,M001111,WA,,b'Murray'
75,24,74,53,400413,U000039,NM,,b'Udall'
78,23,77,55,400134,F000444,AZ,,b'Flake'
79,22,78,56,412218,H001041,NV,,b'Heller'
80,20,79,59,300087,S000148,NY,,b'Schumer'
80,20,79,59,412244,T000464,MT,,b'Tester'
82,19,81,61,400325,P000449,OH,,b'Portman'
83,17,82,62,412492,P000603,KY,,b'Paul'
83,17,82,62,400546,T000250,SD,,b'Thune'
85,16,84,67,300043,F000062,CA,,b'Feinstein'
86,15,85,68,412242,K000367,MN,,b'Klobuchar'
87,14,86,69,412491,R000595,FL,,b'Rubio'
88,13,87,71,400050,B000944,OH,,b'Brown'
89,10,88,73,412246,C001070,PA,,b'Casey'
89,10,88,73,400253,M000133,MA,,b'Markey'
89,10,88,73,400272,M000639,NJ,,b'Menendez'
92,9,91,74,400222,K000360,IL,,b'Kirk'
93,8,92,77,412490,B001277,CT,,b'Blumenthal'
94,7,93,78,412323,S001181,NH,,b'Shaheen'
95,6,94,80,400064,C000141,MD,,b'Cardin'
96,5,95,82,300075,M001153,AK,,b'Murkowski'
97,4,96,87,300100,W000779,OR,,b'Wyden'
98,3,97,94,300048,G000386,IA,,b'Grassley'
99,2,98,108,300052,H000338,UT,,b'Hatch'
100,1,99,140,400418,V000127,LA,,b'Vitter'
